"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
162 2 1 1 1 58 2 2 2 1 1 53
162 3 2 1 1 26 3 2 2 1 1 53
162 4 1 1 1 21 3 2 2 1 1 53
163 2 2 1 1 66 2 1 1 1 1 69
164 2 1 1 1 27 2 1 2 1 1 25
164 3 2 1 1 1 3 1 2 1 1 25
165 2 2 1 1 52 2 1 1 1 1 51
165 3 1 1 1 29 3 1 1 1 1 51
165 4 2 1 1 27 13 1 1 1 1 51
166 2 2 1 1 72 2 1 1 1 1 76
167 2 1 1 1 26 12 2 2 1 1 22
168 2 1 1 1 21 3 2 2 1 1 42
168 3 1 1 1 42 12 2 2 1 1 42
169 2 2 1 1 74 2 1 1 1 1 76
169 3 1 1 2 50 3 1 1 1 1 76
169 4 2 1 1 46 3 1 1 1 1 76
169 5 2 1 1 26 11 1 1 1 1 76
170 2 1 1 1 33 2 2 2 1 1 27
170 3 1 1 1 8 3 2 2 1 1 27
170 4 1 1 1 6 3 2 2 1 1 27
171 2 2 1 1 77 2 1 1 1 1 83
172 2 1 1 1 59 2 1 2 1 1 65
173 2 2 1 1 74 2 1 1 1 1 78
174 2 1 1 1 48 2 1 2 1 1 48
174 3 2 1 1 24 3 1 2 1 1 48
174 4 1 1 1 20 3 1 2 1 1 48
174 5 1 1 1 16 3 1 2 1 1 48
175 2 2 1 1 45 2 1 1 1 1 43
176 2 1 1 2 28 3 1 2 1 2 59
176 3 1 1 2 85 7 1 2 1 2 59
177 2 2 8 1 51 3 1 1 8 1 88
178 2 2 1 1 31 2 1 1 1 1 29
178 3 1 1 1 5 3 1 1 1 1 29
178 4 2 1 1 4 3 1 1 1 1 29
178 5 2 1 1 1 3 1 1 1 1 29
179 2 2 2 1 48 3 1 1 2 1 73
180 2 2 1 1 71 2 1 1 1 1 71
181 2 2 2 1 28 3 1 2 2 1 47
181 3 2 2 1 21 3 1 2 2 1 47
181 4 1 2 1 19 3 1 2 2 1 47
182 2 1 1 1 32 2 2 2 1 1 32
182 3 2 1 1 9 3 2 2 1 1 32
182 4 2 1 1 5 3 2 2 1 1 32
183 2 2 1 1 80 2 1 1 1 1 84
184 2 2 2 1 14 3 2 2 2 1 38
184 3 1 2 1 12 3 2 2 2 1 38
185 2 1 1 1 36 12 2 2 1 1 43
186 2 1 2 1 29 3 1 2 2 1 58
187 2 1 1 1 34 2 1 2 1 5 32
188 2 1 2 1 27 3 1 1 2 1 58
189 2 1 1 4 48 2 1 2 1 1 49
189 3 1 1 4 16 3 1 2 1 1 49
189 4 2 1 4 15 3 1 2 1 1 49
190 2 2 1 1 66 2 1 1 1 1 69
191 2 2 2 1 43 3 1 2 2 1 80
192 2 1 1 1 51 12 2 1 1 1 63
193 2 2 1 1 45 2 1 1 2 1 47
194 2 1 1 1 84 2 1 2 1 1 81
195 2 2 1 1 23 8 1 2 1 1 85
196 2 2 2 1 35 12 2 2 2 1 26
197 2 1 1 1 63 2 1 2 1 1 69
198 2 2 1 5 22 6 2 2 1 5 23
198 3 2 1 5 19 12 2 2 1 5 23
199 2 1 1 1 45 2 1 2 1 3 44
199 3 2 1 1 14 3 1 2 1 3 44
199 4 2 1 1 11 3 1 2 1 3 44
200 2 1 6 1 47 2 2 2 6 1 45
200 3 1 6 1 15 3 2 2 6 1 45
201 2 1 2 1 45 2 1 2 2 1 41
201 3 2 2 1 19 3 1 2 2 1 41
201 4 1 2 1 11 3 1 2 2 1 41
202 2 1 1 1 50 2 1 2 1 1 46
203 2 1 1 1 64 2 1 2 1 1 61
204 2 1 2 1 59 2 1 2 2 1 52
204 3 1 2 1 22 3 1 2 2 1 52
204 4 2 2 1 12 3 1 2 2 1 52
204 5 1 2 1 58 6 1 2 2 1 52
205 2 1 6 1 44 2 2 2 6 1 40
205 3 1 6 1 20 3 2 2 6 1 40
205 4 1 6 1 18 3 2 2 6 1 40
205 5 1 6 1 12 3 2 2 6 1 40
205 6 2 6 1 8 3 2 2 6 1 40
206 2 2 1 1 51 2 1 1 1 1 54
206 3 1 1 1 16 3 1 1 1 1 54
207 2 2 1 1 42 2 1 1 1 1 45
207 3 1 1 1 19 5 1 1 1 1 45
208 2 2 1 1 68 2 1 1 1 1 69
209 2 2 1 1 57 2 1 1 1 1 57
210 2 2 1 1 66 3 1 2 1 1 86
